conv_id	prompt_pl	prompt	context	mood	mood_idx	sentiment	sentiment_idx
hit:495_conv:990	Pierwsza podróż do Kalifornii.	Going to California for the first time.	excited	happiness	0	good	0
hit:10178_conv:20356	Pojechaliśmy na wakacje do domu mojej babci. Uwielbiałem przebywać z rodziną. Gotowanie było boskie. Czułem się taki szczęśliwy.	We went over my grandma's house for the holidays. I loved being with my relatives. The cooking was divine. I felt so happy.	content	happiness	0	good	0
hit:8993_conv:17986	Cieszę się, że nauczyłem się na błędach z przeszłości. Byłem na punkcie zerowym i jestem wdzięczny, że poczucie, jak to jest być na końcu twojej liny, pchnęło mnie do finansowej niezależności.	I'm happy I've learned from my past mistakes.  I've been at ground zero and I'm thankful that the feeling of what it's like to be at the end of your rope has propelled me into financial autonomy.	grateful	happiness	0	good	0
hit:5921_conv:11842	Moja partnerka zostawiła swoje naczynia nieumyte po wczorajszej kolacji. Byłem bardzo sfrustrowany	My partner left her dishes unwashed after having dinner yesterday. I was very frustrated	disgusted	other_bad	7	bad	1
hit:5890_conv:11780	Wstydziłem się po wielkiej walce z moim najlepszym przyjacielem, to była moja wina	I felt ashamed after I huge fight with my best friend that was my fault	ashamed	guilt	6	bad	1
1742-5	Wyjeżdżam na wakacje, żeby odwiedzić tam przyjaciela. Czy kiedykolwiek byłeś tam wcześniej?	I'm taking a vacation to visit a friend there . Have you ever been there before ?	no emotion	neutral	8	neutral	2
hit:6208_conv:12416	Moja dziewczyna powiedziała nie, kiedy poprosiłem ją o rękę.	My girlfriend said no, when I asked her to marry me.	disappointed	sadness	5	bad	1
hit:3322_conv:6644	Żałuję, że nie jestem wysoki jak Lebron James.	I wish I was tall like Lebron James.	jealous	other_bad	7	bad	1
hit:1005_conv:2010	Boję się, że wkrótce pójdę do szkoły prawniczej	I am nervous about going to law school soon	apprehensive	fear	4	bad	1
hit:3218_conv:6436	Moja siostra została zaproszona na całodzienną wycieczkę na plażę przez jednego z naszych wspólnych znajomych. Nie mogę uwierzyć, że wyjeżdża, a ja nie miałem wakacji od 3 lat.	My sister got invited on an all expense paid beach trip by one of our mutual friends.  I can't believe she's getting to go and I haven't had a vacation in 3 years.	jealous	other_bad	7	bad	1
hit:3917_conv:7835	Nigdy nie myślałem, że mój były i zerwałbym na dobre. Myślę, że już naprawdę skończyliśmy.	I never thought my ex and I would break up for good. I think we are really done now.	angry	anger	3	bad	1
hit:7445_conv:14891	Kiedy moja mama poszła do college'u. Nie chodziła do szkoły przez 15 lat.	When my mom joined college. She had been out of school for 15 years.	proud	other_good	2	good	0
hit:7033_conv:14066	Długo próbowaliśmy zajść w ciążę. Niestety wszystkie ciąże zakończyły się poronieniem, po prostu tak nie było.	We tried for a long time to get pregnant.  Unfortunately all of the pregnancies ended in miscarriage, it just wasn't meant to be.	devastated	sadness	5	bad	1
hit:12340_conv:24681	Mój narzeczony jest zawsze numerem jeden i nie wyobrażam sobie, żeby kiedykolwiek zdradzić jego zaufanie.	My fiance is always number one and I couldn't imagine ever betraying his trust.	faithful	other_good	2	good	0
hit:1748_conv:3497	Jestem podekscytowany, że zaczyna się nowy sezon piłkarski. Jestem właścicielem zespołu w Hiszpanii i chcę zobaczyć, jak dobrze sobie radzą.	I feel excited that the new footbal season is about to start. I own a team in spain and want to see them do well.	excited	happiness	0	good	0
hit:914_conv:1829	Byłem bardzo szczęśliwy, kiedy mój syn poszedł na studia.	I was very happy when my son went to college.	proud	other_good	2	good	0
hit:1658_conv:3317	Moje psy są dla mnie najważniejsze na świecie.	My dogs are the most important thing in the world to me.	caring	other_good	2	good	0
hit:7747_conv:15495	Nie chodzi mi o to, że muszę oddać swoje miejsce komuś innemu	im not about that I have to give my spot to someone else	sad	sadness	5	bad	1
hit:12393_conv:24787	Mojego nastoletniego syna prawie wyrzucono ze szkoły, gdy miał 16 lat, za to, że przyłapano go na tytoniu. To było jego piąte wykroczenie	My teenager son almost got kicked out of school when he was 16, for getting caught with tobacco. It was his 5th offense	disappointed	sadness	5	bad	1
hit:4222_conv:8444	Przypadkowo potknąłem się wchodząc do restauracji, a wokół było kilka osób.	I accidentally tripped while walking into a restaurant and there was a bunch of people around.	embarrassed	guilt	6	bad	1
hit:9670_conv:19341	Jestem w tym związku od kilku lat i to nic specjalnego, ale jestem zadowolony z tego, gdzie jesteśmy.	Ive been in this relationship for a few years and its nothing special but im happy with where we are at.	content	happiness	0	good	0
hit:853_conv:1706	Jestem bardzo szczęśliwy, że dobrze radziłem sobie w szkole podczas pracy. Przez chwilę myślałem, że będę musiał zrezygnować.	I'm so happy I've been doing well in school while working. For a while I thought I would have to drop out.	grateful	happiness	0	good	0
hit:11880_conv:23761	Moja żona i ja świętujemy 15. rocznicę ślubu. Zawsze byliśmy wobec siebie dobrzy i uczciwi.	My wife and I are celebrating our 15th wedding anniversary.  We have always been good and honest to each other.	faithful	other_good	2	good	0
hit:6553_conv:13107	Pewnego dnia musiałem wygłosić prezentację w pracy. Zapomniałem przynieść slajdy na prenumeratę, więc skończyło się na tym, że musiałem spróbować to zrobić bez materiałów. To było takie niezręczne doświadczenie.	I had to give a presentation at work the other day. I forgot to bring in the slides for the presnetation so I ended up having to try to do it with no materials. That was such an awkward experience.	embarrassed	guilt	6	bad	1
hit:11913_conv:23826	Nie zdałem egzaminu z przedmiotów ścisłych, na którym ciężko się uczyłem. Nie wiem co mam robić.	I failed my science test that I had studied hard on. I don't know what to do.	ashamed	guilt	6	bad	1
hit:2556_conv:5112	Oglądałem wczoraj straszny film i przez cały dzień byłem przerażony.	I watched a scary film last night and have been horrified about it all day.	terrified	fear	4	bad	1
hit:1032_conv:2065	Kiedyś byłem na imprezie i widziałem, jak ktoś wymiotuje na inną osobę. To było takie obrzydliwe!	I once was at a party and I saw a person throw up all over another person. It was so gross!	disgusted	other_bad	7	bad	1
hit:1848_conv:3696	Naprawdę nie mogłem się doczekać turnieju softballu w ten weekend. Wygląda na to, że do turnieju zapisało się za mało drużyn.	I was really looking forward to the softball tournament this weekend.  It looks like not enough teams signed up to have the tournament.	disappointed	sadness	5	bad	1
hit:7861_conv:15723	Moi sąsiedzi bawili się wczoraj wieczorem i grali głośną muzykę do 1 w nocy. nie byłem szczęśliwy	My neighbors had a party last night and played loud music until 1AM.  I was not happy	annoyed	anger	3	bad	1
hit:1288_conv:2576	Mam szczęście, że mam wspaniałą matkę.	I am so fortunate to have a great mother.	grateful	happiness	0	good	0
hit:1525_conv:3050	Zaparkowałem samochód i wysiadłem. Zapomniałem przełączyć go w tryb parkowania, więc kiedy wysiadłem, przez chwilę sam się poruszał. Tak się wstydziłem.	I parked my car and got out. I forgot to put it to park mode so when I got out it was moving on its own for a little bit. I was so ashamed.	embarrassed	guilt	6	bad	1
hit:769_conv:1539	Byłem bardzo samotny, kiedy siedziałem w więzieniu.	I was very lonely when I was in prison.	lonely	sadness	5	bad	1
hit:6453_conv:12907	Wiem, że czas jest ciężki, ale dam radę	I know time are hard, but i'll make it	faithful	other_good	2	good	0
hit:10311_conv:20622	Przez dwa tygodnie przed egzaminem czytałem strony z książką testową dla kierowców. Wszedł z całą pewnością świata.	I studied my drivers test book page to page for two weeks leading up to the test. Went in with all the confidence in the world.	confident	confidence	1	good	0
hit:10489_conv:20978	Kiedyś złapano mnie na kradzieży ze sklepu, w którym pracowałem. Batony czekoladowe. Nie mogłem uwierzyć własnym działaniom - czułem się okropnie.	I was once caught stealing from a shop I used to work in. Chocolate bars. I couldn't believe my own actions - I felt terrible.	ashamed	guilt	6	bad	1
hit:3145_conv:6290	Właśnie się dowiedziałem, że jestem w ciąży. To ekscytujące, ale także przerażające, ponieważ straciłam ostatnie dziecko w wieku 18 tygodni. Po prostu naprawdę staram się wierzyć, że wszystko się dobrze skończy.	I just found out that I'm pregnant. Its exciting but also scary because I lost my last baby at 18 weeks along. I'm just really trying to have faith that it'll turn out well.	hopeful	confidence	1	good	0
hit:11455_conv:22911	Szedłem do samochodu na parkingu i usłyszałem dziwny dźwięk. Potem zobaczyłem faceta, który odszedł ode mnie. Kiedy go mijałem, zdałem sobie sprawę, że hałas, który usłyszałem, tłucze szkło. Włamał się do samochodów.	I was walking to my car in a parking deck and heard a strange noise.  Then I saw a guy and he was walking away from me.  As I passed him I realized the noise I heard was breaking glass.  He was breaking into the cars.	apprehensive	fear	4	bad	1
hit:6345_conv:12691	W przyszłym tygodniu będę mieć dziecko ... Myślę, że jestem gotowa!	I'm going to have a baby next week,,,, I think im ready!	prepared	confidence	1	good	0
hit:3214_conv:6428	Uwielbiałem to, kiedy patrzyłem na psa mojej siostry	i loved it when i watched my sisters dog	caring	other_good	2	good	0
hit:3866_conv:7732	Mój nowy sąsiad jest całkiem uroczy. Porozmawiam z nią jutro.	My new neighbor is pretty cute. Going to talk to her tomorrow.	hopeful	confidence	1	good	0
7035-8	Och. Przepraszam . Sprawdzę dla ciebie cenę. Wynosi 199 dolarów.	Oh . I'm sorry . I'll check the price for you . It is $ 199 .	no emotion	neutral	8	neutral	2
hit:4856_conv:9713	Ktoś wyłączył mnie wczoraj w korku i prawie doprowadził mnie do katastrofy. Nie znoszę ludzi, którzy nie potrafią prowadzić!	Some person cut me off in traffic yesterday and almost caused me to wreck. I can't stand people who can't drive!	angry	anger	3	bad	1
hit:3259_conv:6519	W przyszłym tygodniu jadę do Las Vegas! Nie mogę się tego doczekać!	Next week, I am going to Las Vegas! I can't wait for it!	excited	happiness	0	good	0
hit:5028_conv:10056	Jestem tak zazdrosny o mojego najlepszego przyjaciela. Ma chorobliwą jazdę z fatalnym systemem stereo. Chciałabym czasami nim być.	I am so envious of my best friend. He has a sick ride with a phat stereo system. I wish I was him sometimes.	jealous	other_bad	7	bad	1
hit:2232_conv:4465	Straciłem dużo masy mięśniowej, ponieważ straciłem motywację i przestałem podnosić ciężary. W przeszłości byłem przyzwoitym wzrostem, co daje mi pewność, że mogę wrócić do bycia dużym jak wcześniej.	I lost a lot of my muscle mass because I lost motivation and stopped lifting weights. I used to be a decent size in the past so that gives me assurance that I can get back to being big like before.	confident	confidence	1	good	0
hit:10397_conv:20795	Mój trener w mojej obecnej pracy miał mnie przeszkolić do eksperymentu. Uwierzyłem jej, kiedy powiedziała mi, że uczę się zbyt wolno. Okazuje się, że celowo ignorowała mój trening, ponieważ mnie nie lubiła.	My trainer at my current job was supposed to train me on an experiment.  I believed her when she told me I was learning too slowly.  Turns out she was deliberately ignoring my training because she didn't like me.	trusting	other_good	2	good	0
hit:2874_conv:5748	Cieszyłem się z mojego brata, kiedy skończył college. Ciężko na to pracował	I was happy for my brother when he graduated college. He worked hard for it	proud	other_good	2	good	0
hit:2014_conv:4028	Rozważam pozostawienie żony dla mojej niani, ponieważ wydaje się ona bardziej zainteresowana moją niż moją żoną	I'm considering leaving my wife for my nanny because she seems more interested in my than my wife	caring	other_good	2	good	0
hit:4582_conv:9164	Ciągle odłączam się od internetu	I keep disconnecting from my internet	annoyed	anger	3	bad	1
hit:718_conv:1436	Pamiętam mój pierwszy dzień w liceum. Byłem zdenerwowany i nie byłem pewien, czy wszystko będzie dobrze.	I can remember my first day of high school. I was nervous and not sure if it was going to be okay.	apprehensive	fear	4	bad	1
hit:9762_conv:19525	Trzeci dzień w szkole i spóźniliśmy się. czułem się okropnie	Third day of school and we were so late. I felt terrible	embarrassed	guilt	6	bad	1
hit:1811_conv:3623	Czułem, że mam doświadczenie i osobowość, by dobrze sobie radzić podczas rozmowy kwalifikacyjnej o pracę, o którą się ubiegałem	I felt I had the experience and personality to do well in an interview for a job I had applied for	prepared	confidence	1	good	0
hit:11937_conv:23874	Muszę kupić nowy samochód. Patrzę na coś, co wykorzystuje paliwo alternatywne, ale nie mogę zdecydować, jaki rodzaj kupić.	I need to buy a new car. I am looking at something that uses alternative fuel, but I cant decide what kind to buy.	apprehensive	fear	4	bad	1
hit:11492_conv:22984	Kiedy zaoszczędzę wystarczająco dużo pieniędzy, pragnę pewnego dnia poprowadzić własny pensjonat.	When I save up enough money, I desire to run my own guest-house one day.	hopeful	confidence	1	good	0
hit:7286_conv:14572	Kupon na loterię, który kupiłem wczoraj, nie wygrał.	The lottery ticket I bought last night did not win.	disappointed	sadness	5	bad	1
hit:7484_conv:14969	Kilka dni temu poszedłem do Whataburger i zepsuli moje zamówienie, na mojego burgera położyli cebulę, a smak cebuli przyprawia mnie o mdłości.	I went to Whataburger a few days ago and they messed up my order, they put onions on my burger and the taste of onions make me feel sick.	sad	sadness	5	bad	1
hit:2500_conv:5001	Słuchanie dobrej muzyki sprawia, że czuję się tak dobrze. Nie mówię o tobie, ale muzyka może naprawdę wyleczyć wiele negatywnych emocji	Listening to feel good music makes me feel so good. I don't about you but music can really cure a lot of negative emotions	joyful	happiness	0	good	0
6394-8	Klimatyzacja jest już wyłączona, proszę pani.	The air-conditioning is already off , madam .	no emotion	neutral	8	neutral	2
hit:9567_conv:19134	Pewnej nocy poszedłem do baru i pewna dziewczyna próbowała zmusić mnie do pójścia z nią do domu, ale tego nie zrobiłem. ponieważ moja żona byłaby szalona	I went to the bar the other night and a girl tried to get me to go home with her, but i didnt. because my wife would be mad	faithful	other_good	2	good	0
hit:10649_conv:21298	Jestem taki szczęśliwy, właśnie wygrałem na loterii!	I am so happy, I just won the lottery!	content	happiness	0	good	0
hit:4910_conv:9820	Ostatnio bardzo martwiłem się o pieniądze.	I've been worried about money a lot lately.	afraid	fear	4	bad	1
hit:10613_conv:21227	Pewnego razu zobaczyłem porzuconego psa, więc wziąłem go do siebie i karmiłem butelką, aż był o wiele lepszy do adopcji.	one time I saw an abandoned dog so I took him in and bottle fed him until he was way better to be adopted.	caring	other_good	2	good	0
